scale,gamma,C,kernel,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
1,1.156925355176084e-05,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.0001983713753468722,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.003401360544217687,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.05832118435198043,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,1.0,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.156925355176084e-05,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.0001983713753468722,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.003401360544217687,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.05832118435198043,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.0,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.156925355176084e-05,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.0001983713753468722,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.003401360544217687,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.05832118435198043,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.0,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.156925355176084e-05,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.0001983713753468722,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.003401360544217687,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.05832118435198043,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.0,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.156925355176084e-05,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.0001983713753468722,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.003401360544217687,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.05832118435198043,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.0,0.01,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
