scale,gamma,C,kernel,class_weight,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
0.1,1.156925355176084e-05,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
0.1,0.0001983713753468722,0.01,precomputed,balanced,161,410,1178,176,0.35462555066079293,0.8008157715839564,0.5777206611223746
0.1,0.003401360544217687,0.01,precomputed,balanced,219,385,1203,118,0.46546227417640806,0.8270883465108284,0.6462753103436183
0.1,0.05832118435198043,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
0.1,1.0,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
1.0,1.156925355176084e-05,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
1.0,0.0001983713753468722,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
1.0,0.003401360544217687,0.01,precomputed,balanced,240,586,1002,97,0.412725709372313,0.7458131745441012,0.5792694419582072
1.0,0.05832118435198043,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
1.0,1.0,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
10.0,1.156925355176084e-05,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
10.0,0.0001983713753468722,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
10.0,0.003401360544217687,0.01,precomputed,balanced,77,326,1262,260,0.20810810810810812,0.8115755627009646,0.5098418354045364
10.0,0.05832118435198043,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
10.0,1.0,0.01,precomputed,balanced,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
0.1,1.156925355176084e-05,0.1,precomputed,balanced,95,329,1259,242,0.24967148488830487,0.8151505341534477,0.5324110095208763
0.1,0.0001983713753468722,0.1,precomputed,balanced,218,559,1029,119,0.39138240574506283,0.7521929824561403,0.5717876941006016
0.1,0.003401360544217687,0.1,precomputed,balanced,218,296,1292,119,0.5123384253819037,0.8616205401800601,0.6869794827809819
0.1,0.05832118435198043,0.1,precomputed,balanced,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
0.1,1.0,0.1,precomputed,balanced,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
1.0,1.156925355176084e-05,0.1,precomputed,balanced,63,256,1332,274,0.19207317073170732,0.8340638697557922,0.5130685202437497
1.0,0.0001983713753468722,0.1,precomputed,balanced,264,672,916,73,0.4147682639434407,0.7109041521148622,0.5628362080291515
1.0,0.003401360544217687,0.1,precomputed,balanced,296,644,944,41,0.4635865309318716,0.7337738048970074,0.5986801679144395
1.0,0.05832118435198043,0.1,precomputed,balanced,334,1326,262,3,0.33450175262894344,0.2827846735024285,0.308643213065686
1.0,1.0,0.1,precomputed,balanced,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
10.0,1.156925355176084e-05,0.1,precomputed,balanced,63,255,1333,274,0.19236641221374046,0.8344287949921753,0.5133976036029578
10.0,0.0001983713753468722,0.1,precomputed,balanced,89,307,1281,248,0.24283765347885403,0.821944177093359,0.5323909152861065
10.0,0.003401360544217687,0.1,precomputed,balanced,288,661,927,49,0.447900466562986,0.7230889235569423,0.5854946950599642
10.0,0.05832118435198043,0.1,precomputed,balanced,329,1295,293,8,0.3355430902600714,0.31021704605611433,0.3228800681580929
10.0,1.0,0.1,precomputed,balanced,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
0.1,1.156925355176084e-05,1.0,precomputed,balanced,190,441,1147,147,0.3925619834710744,0.7959750173490632,0.5942685004100687
0.1,0.0001983713753468722,1.0,precomputed,balanced,156,585,1003,181,0.2894248608534323,0.7236652236652237,0.506545042259328
0.1,0.003401360544217687,1.0,precomputed,balanced,187,402,1186,150,0.4038876889848812,0.811217510259918,0.6075525996223996
0.1,0.05832118435198043,1.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
0.1,1.0,1.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1.0,1.156925355176084e-05,1.0,precomputed,balanced,59,83,1505,278,0.24634655532359082,0.8929101156926728,0.5696283355081317
1.0,0.0001983713753468722,1.0,precomputed,balanced,230,394,1194,107,0.4786680541103018,0.8265835929387332,0.6526258235245175
1.0,0.003401360544217687,1.0,precomputed,balanced,197,408,1180,140,0.4182590233545648,0.811554332874828,0.6149066781146963
1.0,0.05832118435198043,1.0,precomputed,balanced,31,4,1584,306,0.16666666666666666,0.9108683151236343,0.5387674908951505
1.0,1.0,1.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10.0,1.156925355176084e-05,1.0,precomputed,balanced,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
10.0,0.0001983713753468722,1.0,precomputed,balanced,222,448,1140,115,0.44091360476663355,0.8019697502638058,0.6214416775152196
10.0,0.003401360544217687,1.0,precomputed,balanced,163,496,1092,174,0.3273092369477912,0.7652417659425368,0.546275501445164
10.0,0.05832118435198043,1.0,precomputed,balanced,46,19,1569,291,0.22885572139303484,0.910092807424594,0.5694742644088144
10.0,1.0,1.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
0.1,1.156925355176084e-05,10.0,precomputed,balanced,149,569,1019,188,0.2824644549763033,0.7291592128801431,0.5058118339282232
0.1,0.0001983713753468722,10.0,precomputed,balanced,152,622,966,185,0.27362736273627364,0.7053669222343921,0.4894971424853329
0.1,0.003401360544217687,10.0,precomputed,balanced,160,444,1144,177,0.34006376195536664,0.7865245788930904,0.5632941704242285
0.1,0.05832118435198043,10.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
0.1,1.0,10.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1.0,1.156925355176084e-05,10.0,precomputed,balanced,237,413,1175,100,0.48024316109422494,0.8208173244848062,0.6505302427895155
1.0,0.0001983713753468722,10.0,precomputed,balanced,178,485,1103,159,0.356,0.7740350877192983,0.5650175438596492
1.0,0.003401360544217687,10.0,precomputed,balanced,212,637,951,125,0.357504215851602,0.713963963963964,0.535734089907783
1.0,0.05832118435198043,10.0,precomputed,balanced,29,3,1585,308,0.15718157181571815,0.9106578569376615,0.5339197143766898
1.0,1.0,10.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10.0,1.156925355176084e-05,10.0,precomputed,balanced,215,408,1180,122,0.4479166666666667,0.8166089965397924,0.6322628316032295
10.0,0.0001983713753468722,10.0,precomputed,balanced,177,485,1103,160,0.35435435435435436,0.7737635917222028,0.5640589730382786
10.0,0.003401360544217687,10.0,precomputed,balanced,197,657,931,140,0.3308144416456759,0.7002632568634826,0.5155388492545793
10.0,0.05832118435198043,10.0,precomputed,balanced,35,14,1574,302,0.18134715025906736,0.9087759815242494,0.5450615658916584
10.0,1.0,10.0,precomputed,balanced,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
